HERBACEOUS	ER0BEY1SHAH0S
SAMPSEL	SAE1MPSAH0L
OWYHEE	OW1IH0HHIY0
DAMITA	DAA0MIY1TAH0
PICKELSIMER	PIH1KIH0LSIH0MER0
HEINZELMAN	HHAY1NZAH0LMAH0N
DOZING	DOW1ZIH0NG
FINK'S	FIH1NGKS
ABURTO'S	AH0BUH1RTOW2Z
FUCK'S	FAH1KS
ANTICRIME(1)	AE1NTAY0KRAY1M
EMPATHETIC	EH2MPAH0THEH1TIH0K
EYE'S	AY1Z
OBLONG	AA1BLAO0NG
SALLY'S	SAE1LIY0Z
KOONIG	KUW1NIH0G
GEURTS	ZHER1TS
BOLOGNA	BAH0LOW1NIY0
VOLCANO	VAA0LKEY1NOW0
CHANS	CHAE1NZ
HAPKE	HHEY1PKIY0
BARTNIK	BAA1RTNIH0K
KEDDY	KEH1DIY0
SWETNAM	SWEH1TNAH0M
PEPTIDES	PEH1PTAY2DZ
BONIFIELD	BAA1NIH0FIY2LD
BULRUSH	BUH1LRAH0SH
ACKROYD	AE1KROY2D
LIPOPROTEINS	LIH2POW0PROW1TIY0NZ
SOUSLEY	SAW1SLIY0
ANG	AE1NG
MIKOLAJCZAK	MIH0KAA1LAY0CHAE0K
BENNIGAN	BEH1NIH0GAH0N
MINEFIELD	MAY1NFIY2LD
ROLL'S	ROW1LZ
UNTHINKABLE	AH0NTHIH1NGKAH0BAH0L
RYLANDER	RIH1LAH0NDER0
THIEME	THIY1M
FINANCIAL	FAH0NAE1NSHAH0L
SPERRAZZA	SPER0AA1TSAH0
O'CANAS	OW0KAE1NAH0Z
CONTRACTIONS	KAH0NTRAE1KSHAH0NZ
OUTFIELD	AW1TFIY2LD
OUTHOUSE	AW1THHAW2S
GENEROSITY	JHEH2NER0AA1SAH0TIY0
KETTERING	KEH1TER0IH0NG
ATLAS	AE1TLAH0S
COWBELLS	KAW1BEH2LZ
DOMINA	DOW0MIY1NAH0
TOMORROWS(1)	TUW0MAA1ROW2Z
SHUFFLING(1)	SHAH1FUH1LIH0NG
FITFULLY	FIH1TFAH0LIY0
VALOR	VAE1LER0
MATTERA	MAA0TEH1RAH0
WHO'S	HHUW1Z
INGRATIATING	IH2NGGREY1SHIY0EY2TIH0NG
CROCHETIERE	KROW2SHAH0TIH1R
DANJUBE'S	DAE1NJHUW0BZ
KEEF	KIY1F
SOZIO	SOW1ZIY0OW0
BIGRAM	BAY1GRAE0M
CURTAILMENTS	KER0TEY1LMAH0NTS
TINTON	TIH1NTAH0N
COLLABORATED(1)	KAH0LAE1BER0EY2TIH0D
DEFACED	DIH0FEY1ST
GADFLY	GAE1DFLAY2
REINTRODUCE	RIY2IH0NTRAH0DUW1S
LINDVALL	LIH1NDVAH0L
RENOUF	RAH0NUW1F
SORROWS	SAA1ROW0Z
BOHR	BAO1R
BEDIENT	BIY1DYIH0NT
PARTISANED	PAA1RTAH0ZAH0ND
SENNET	SEH1NAH0T
NON-LETHAL	NAA0NLIY1THAH0L
MONROY	MAA1NROY2
MACDONNELL	MAH0KDAA1NAH0L
SACRAMENTAL	SAE1KRAH0MAH0NTAH0L
MISTIC	MIH1STIH0K
SCHOOLS	SKUW1LZ
THIRD	THER1D
RUSSIN	RAH1SIH0N
JABALIYA	JHAA1BAH0LIY2AH0
BURROWES	BER1OW2Z
WINKLER	WIH1NGKLER0
BT	BIY1TIY1
SPIELVOGEL	SPIY1LVOW2GAH0L
LYSSY	LIH1SIY0
HEELS	HHIY1LZ
UNCARING	AH0NKEH1RIH0NG
RIVKIND	RIH1VKIH0ND
BRONX	BRAA1NGKS
REMEDYING	REH1MAH0DIY0IH0NG
SCHARA	SKAE1RAH0
ROPES	ROW1PS
MASTERWORKS	MAE1STER0WER2KS
SHUTTLED	SHAH1TAH0LD
ROSALINDA	ROW0SAA0LIY1NDAH0
HIERARCHY(1)	HHAY1RAA2RKIY0
FIRES(1)	FAY1RZ
BECAME(1)	BIY0KEY1M
PIONTEK	PIY0OW1NTEH0K
GOMES	GOW1MEH2Z
SIEGEL'S	SIY1GAH0LZ
CHAUTAUQUANS	SHAH0TAO1KWAH0NZ
SNECMA	SNEH1KMAA0
ROBBERS	RAA1BER0Z
WOLFGANG	WUH1LFGAE2NG
DUBOIS(1)	DUW0BWAA1
SUPREMACISTS	SUW0PREH1MAH0SIH0STS
CARDIOVASCULAR	KAA2RDIY0OW0VAE1SKYAH0LER0
ULIASSI	YUW0LYAE1SIY0
GROMA	GRAA1MAH0
CLAEYS	KLEY1Z
BRAN	BRAE1N
PARKISON	PAA1RKIH0SAH0N
CAYER	KEY1ER0
ENDURED(1)	IH0NDUH1RD
FROGMOUTHS	FRAA1GMAW2THS
SECURED	SIH0KYUH1RD
GRADUS	GREY1DAH0S
NICETIES	NAY1SIH0TIY0Z
FETISHIST	FEH1TIH0SHIH0ST
DISTIL	DIH0STIH1L
TIMBERMAN	TIH1MBER0MAH0N
EUROPIUM	YUH0ROW1PIY0AH0M
CROUP	KRUW1P
THEURER	THER1ER0
TAMPING	TAE1MPIH0NG
LANGAN	LAE1NGGAH0N
KLIEWER	KLIY1WER0
PAWNED	PAO1ND
KRUTSINGER	KRAH1TSIH0NJHER0
MASSO	MAE1SOW0
WANER	WEY1NER0
ASTUTELY	AH0STUW1TLIY0
BERNARDINO	BER0NAH0DIY1NOW0
ESCAMILLA	EH0SKAA0MIH1LAH0
OUTSTRETCH	AW0TSTREH1CH
HUSTLER	HHAH1SAH0LER0
INDEX	IH1NDEH0KS
SCHERZINGER	SHER1ZIH0NGER0
RE(1)	RIY1
SANDOW	SAE1NDOW0
SPRINTERS	SPRIH1NTER0Z
DONKEY(1)	DAO1NGKIY0
KURLAK	KER1LAE0K
GERBASI	JHER0BAA1SIY0
TEDFORD	TEH1DFER0D
ENNOBLES	IH0NOW1BAH0LZ
STENCILED	STEH1NSIH0LD
ZELOTES	ZEH1LAH0TS
GRUMMAN	GRAH1MAH0N
GOLDMAN	GOW1LDMAH0N
GANTENBEIN	GAE1NTIH0NBAY0N
PEDERSON	PEH1DER0SAH0N
SAUVAGE	SAO1VIH0JH
KERSEE	KER1SIY0
MAYDEN	MEY1DAH0N
INANIMATE	IH2NAE1NAH0MAH0T
MARTEN	MAA1RTAH0N
WITCHHUNT	WIH1CHHHAH2NT
LAROCHELLE	LAE1RAH0SHAH0L
COOLIDGE'S	KUW1LIH0JHAH0Z
PROUDFOOT	PRAW1DFUH2T
CAMPERS	KAE1MPER0Z
MOFIELD	MOW1FIY2LD
HOSES	HHOW1ZIH0Z
OGUIN	OW0GUW1IY0N
SHERATON	SHEH1RAH0TAH0N
MISLEADING	MIH0SLIY1DIH0NG
IMMOBILE	IH2MOW1BAH0L
GRISSON	GRIH1SAH0N
NEWLYN	NUW1LIH0N
EXCLAIM	IH0KSKLEY1M
ENGLER'S(1)	EH1NGGLER0Z
NISWANDER	NIH1SWAO0NDER0
SULZBERGER	SAH1LTSBER0GER0
ITEMIZER	AY1TAH0MAY2ZER0
EASTWARD	IY1STWER0D
FESTIVAL(1)	FEH1STIH0VAH0L
BOULALAS	BUW1LAH0LAH0S
NORDSTROM'S	NAO1RDSTRAH0MZ
TART	TAA1RT
RACHELS	REY1CHIH0LZ
KEIRETSU	KIH2REH1TSUW0
LUCIE	LUW1SIY0
DISCRETE	DIH0SKRIY1T
BRADER	BRAE1DER0
TREPPEL	TREH1PAH0L
WEINGARTEN	WAY1NGAA2RTAH0N
SELLER	SEH1LER0
CONDEMNING	KAH0NDEH1MIH0NG
KEYNES	KEY1NZ
PARSING	PAA1RSIH0NG
INEPTLY	IH2NEH1PTLIY0
CALEDONIAN	KAE2LIH0DOW1NIY0AH0N
MORABITO	MAO0RAA0BIY1TOW0
BALTAZAR	BAA0LTAA0ZAA1R
AULANDER	OW1LAE0NDER0
CHEONG	CHIY1AO0NG
FERRIES	FEH1RIY0Z
PHOTOSHOP	FOW1TOW2SHAA2P
DOZENS	DAH1ZAH0NZ
BLACKLOCK	BLAE1KLAA2K
CALABRIA	KAH0LAE1BRIY0AH0
DECAROLIS	DEH1KER0AH0LIH0S
EMBARRASS	IH0MBEH1RAH0S
ALISON	AE1LIH0SAH0N
PINEDA	PIY0NEH1DAH0
BRIDGEMAN	BRIH1JHMAH0N
ROADWORK	ROW1DWER2K
TAGS	TAE1GZ
SHOVLIN	SHAA1VLIH0N
ARNESON	AA1RNIH0SAH0N
DELFINA	DEH2LFIY1NAH0
NECO	NIY1KOW0
PIERCING	PIH1RSIH0NG
MALCZEWSKI	MAH0LCHEH1FSKIY0
KRAMER	KREY1MER0
MISREPRESENTING(1)	MIH0SREH2PRAH0ZEH1NIH0NG
TUDOR	TUW1DER0
BIENSTOCK	BIY1NSTAA2K
OMNICOM	AA1MNIH0KAA0M
RIX	RIH1KS
DAVYDOV	DEY1VIH0DAO2V
DEBOSE	DEH1BAH0S
FEARN	FER1N
ARGANBRIGHT	AA0RGAE1NBRAY0T
SWARTLEY	SWAO1RTLIY0
EVERYTHING	EH1VRIY0THIH2NG
FLORALLY	FLAO1RAH0LIY0
AUGELLO	AO0JHEH1LOW0
JA	YAA1
FEEDERS	FIY1DER0Z
LOYD	LOY1D
QUINTILE(1)	KWIH1NTAY2L
SOMETIMES(1)	SAH1MTAY2MZ
MAGADAN	MAE1GAH0DAE2N
THANK	THAE1NGK
NIHISER	NIH1HHAY0ZER0
NICHOLAS'	NIH1KAH0LAH0S
MICRO'S	MAY1KROW0Z
SEGER	SIY1GER0
UTOPIANS	YUW0TOW1PIY0AH0NZ
LITTLER	LIH1TAH0LER0
THEME	THIY1M
WESTGATE	WEH1STGEY2T
JUNGMAN	JHAH1NGMAH0N
SCHLEYER	SHLEY1ER0
POWERPOINT	PAW1ER0POY2NT
WOODWINDS	WUH1DWIH2NDZ
BEV	BEH1V
DIODATO	DIY2OW0DAA1TOW2
GNOSTICISM	NAA1STIH0SIH2ZAH0M
SURINAM	SUH2RAH0NAA1M
STRUCTURED	STRAH1KCHER0D
SKEWING	SKYUW1IH0NG
WINDOWPANE	WIH1NDOW0PEY2N
ORDERLINESS	AO1RDER0LIY0NAH0S
MAXWELL	MAE1KSWEH2L
TEAC	TIY1K
NANOTECHNOLOGIES	NAE2NOW0TEH2KNAA1LAH0JHIY2Z
WIEDERHOLT	WIY1DER0HHOW0LT
EVACUEE	IH0VAE1KYUW0IY0
FAGLEY	FAE1GLIY0
THROTTLE	THRAA1TAH0L
HARASZTI	HHER0AE1STIY0
SCROGGIN	SKRAA1GIH0N
DISINTEGRATE	DIH0SIH1NTAH0GREY2T
VALVO	VAA1LVOW0
SKANK	SKAE2NGK
VIERRA	VIH1RAA0
L'HEUREUX	LHHYUW2RUH1
SONDRA	SAA1NDRAH0
DOUGALL(1)	DUW1GAH0L
RUSHDIE	RAH1SHDIY0
CREASE	KRIY1S
BROUNTAS	BRAW1NTAH0S
KEETER	KIY1TER0
HYDRAULIC	HHAY0DRAO1LIH0K
ACUSYST	AE1KYUW0SIH0ST
ROUGH	RAH1F
EVERLY	EH1VER0LIY0
STUDENT'S	STUW1DAH0NTS
GIRDERS	GER1DER0Z
INCE	IH1NS
WHISENHUNT	WAY1ZAH0NHHAH2NT
ALIMENIES	AE1LIH0MEH2NIY0Z
LUCKS	LAH1KS
UNSUSTAINABLY	AH2NSAH0STEY1NAH0BLIY0
MCCAMY	MAH0KEY1MIY0
GOLDFEDER	GOW1LDFEH2DER0
TODD'S	TAA1DZ
FLEISS'S(1)	FLAY1SIH0Z
HUMILIATED	HHYUW0MIH1LIY0EY2TIH0D
HONORIFIC	AA2NER0IH1FIH0K
ELEUTHERA	IH0LUW1THER0AH0
PASTES	PEY1STS
DECENTRALIZED	DIH0SEH1NTRAH0LAY2ZD
BRAID	BREY1D
WESSEX	WEH1SAH0KS
BYAS	BAY1AH0S
KSIAZEK	KSYAA1ZEH0K
HEMM	HHEH1M
BURKLE	BER1KAH0L
REMME	REH1M
SYRING	SAY1RIH0NG
POLICY	PAA1LAH0SIY0
NEGLECT(1)	NIH0GLEH1KT
PRETZEL	PREH1TZAH0L
STEFFIE	STEH1FIY0
OSPREY	AO1SPRIY0
TOUGHER	TAH1FER0
RENOVATORS	REH1NAH0VEY2TER0Z
UNALTERABLE	AH0NAO1LTER0AH0BAH0L
BEAUTIES	BYUW1TIY0Z
MUTUALLY	MYUW1CHUW0AH0LIY0
DISSIMILAR	DIH0SIH1MAH0LER0
BIRDIES	BER1DIY0Z
WAGENER	WAE1GAH0NER0
TRILOGY	TRIH1LAH0JHIY0
NARAYANAN	NAA2RAY0AA1NAH0N
ABERLE	AE1BER0AH0L
EADS'	IY1DZ
EMBARRASSED	IH0MBEH1RAH0ST
ASSYRIAN	AH0SIH1RIY0AH0N
MANS	MAE1NZ
NEWHALL'S	NUW1HHAO2LZ
SOREY	SAO1RIY0
MARFA	MAA1RFAH0
GATTY	GAE1TIY0
CHUBB'S	CHAH1BZ
TORRAS	TAO1RAH0S
CONVERGE	KAH0NVER1JH
SHELLENBARGER	SHEH1LIH0NBAA0RGER0
BROZEK	BROW1ZEH0K
SODERBLOM	SOW1DER0BLAA2M
CORREIA	KER0EY1IY0AH0
STANISLAWSKI	STAE2NIH0SLAA1FSKIY2
FOO	FUW1
STRAIGHTENS	STREY1TAH0NZ
DIRECTNESS(2)	DAY0REH1KNAH0S
PEAKES'	PIY1KS
MARITAL	MAE1RAH0TAH0L
STILLEY	STIH1LIY0
PIZANA	PIY0ZAE1NAH0
HANKO	HHAE1NGKOW0
VOLOKH	VAA1LAA0K
TERRIO	TEH1RIY0OW0
AIME	EY1M
PROPENSITY	PRAH0PEH1NSIH0TIY0
REDIFFUSION	RIY0DIH0FYUW1ZHAH0N
MOURAD	MUW1RAE0D
STIG	STIH1G
AXEL	AE1KSAH0L
FRENZ	FREH1NZ
NEALSON	NIY1LSAH0N
KLAUSER	KLAW1SER0
WICKLIFFE	WIH1KLIH0F
STIFLING(1)	STAY1FAH0LIH0NG
INSULARITY	IH2NSAH0LEH1RIH0TIY0
AMARILLO	AE2MER0IH1LOW0
SPICELAND	SPAY1SLAE2ND
ROSENBACH	ROW1ZAH0NBAA2K
CONFIGURING	KAH0NFIH1GYER0IH0NG
DEXTROUS	DEH1KSTRAH0S
SIEJA(1)	SEY1JHAH0
HONCHO	HHAO1NCHOW0
DONATI	DOW0NAA1TIY0
FROSTY	FRAO1STIY0
DOT	DAA1T
DEARDOURFF	DIH1RDAO2RF
DEMOTED	DIH0MOW1TIH0D
CONTRADICTORILY	KAA2NTRAH0DIH1KTER0AH0LIY0
ROTBERG	RAA1TBER0G
NAVARRE	NAA0VAA1R
ANASQUAN	AE1NAH0SKWAA0N
MARSHALS	MAA1RSHAH0LZ
SEITH	SIY1TH
RELIANCE'S	RIH0LAY1AH0NSIH0Z
DEFFENBAUGH	DEH1FIH0NBAW0
WOLPE	WOW1LPIY0
O	OW1
GRIBBINS	GRIH1BIH0NZ
PORDY	PAO1RDIY0
MASSBAUCH	MAE1SBAA2K
DURST	DER1ST
TWOMBLY	TWUW1MBLIY0
OUAGA	WAA1GAH0
MARYANN	MEH0RIY0AE1N
CRABILL	KRAE1BAH0L
SUSSMAN	SAH1SMAH0N
RADELL	RAA0DEY1L
PHYSIOLOGY	FIH2ZIY0AA1LAH0JHIY0
TIPTOE	TIH1PTOW2
POT	PAA1T
ALLENSWORTH	AE1LAH0NZWER0TH
ANNIVERSARIES	AE2NAH0VER1SER0IY0Z
MUHAMED	MUH0HHAA1MEH0D
UNDERPRICE	AH1NDER0PRAY2S
GOOD-BYE(1)	GUH1DBAY2
LANKA	LAE1NGKAH0
GILLOOLY	GIH1LUW0LIY0
FAW	FAO1
FLOUNDERED	FLAW1NDER0D
AEROGENOSA	EH1RAH0JHAH0NOW2SAH0
CLUCAS	KLUW1KAH0Z
PRIZANT	PRIH1ZAA2NT
BRUMITT	BRUW1MIH0T
STEINMETZ	STAY1NMEH0TS
SPEIER	SPAY1ER0
HILLSIDE	HHIH1LSAY2D
PURA	PUH1RAH0
PREFECTURAL	PRIY0FEH1KCHER0AH0L
KROLAK	KROW1LAH0K
GHERIG	GEH1RIH0G
WAIN	WEY1N
SCHEUER	SHOY1ER0
MARKSMANSHIP	MAA1RKSMAH0NSHIH0P
AFFILIATIONS	AH0FIH2LIY0EY1SHAH0NZ
COLLUSIVE	KAH0LUW1SIH0V
SORORITIES	SER0AO1RAH0TIY0Z
LOUSINESS	LAW1ZIY0NAH0S
ANGLER	AE1NGGLER0
GRAHN	GRAE1N
ALLNUTT	AH0LNAH1T
SIEMENS	SIY1MAH0NZ
COLLEAGUES	KAA1LIY0GZ
SUSTAINED	SAH0STEY1ND
KOWALEWSKI	KAW0AH0LEH1FSKIY0
KLUGH	KLAH1
GIOVANNI(1)	JHAH0VAA1NIY0
CRUCIAL	KRUW1SHAH0L
JEKYLL	JHEH1KAH0L
ANTICIPATED(1)	AE0NTIH1SAH0PEY2TIH0D
PROFFERED	PRAA1FER0D
SAGE'S	SEY1JHAH0Z
CUTLASS	KAH1TLAH0S
GOB	GAA1B
DEVELOPER	DIH0VEH1LAH0PER0
LIABILITIES	LAY2AH0BIH1LAH0TIY0Z
POSSESSED	PAH0ZEH1ST
NUTRIA	NUW1TRIY0AH0
HUSSAR	HHAH1SER0
GUALTIERI	GAA0LTIH1RIY0
PLASTERER	PLAE1STER0ER0
NEWHARD	NUW1HHAA2RD
PROVOKES	PRAH0VOW1KS
SQUALL	SKWAO1L
IPPOLITO	IH2POW0LIY1TOW0
BONFIGLIO	BAA2NFIH1GLIY0OW0
EMILY	EH1MIH0LIY0
PUBLISHES	PAH1BLIH0SHAH0Z
LIBERAL	LIH1BER2AH0L
PIGG	PIH1G
BACCHANAL(1)	BAE1KIH0NAH0L
TERBUSH(1)	TER1BUH0SH
DEUTCH	DOY1CH
CLAMBERED	KLAE1MBER0D
KNOTTED	NAA1TIH0D
EVITT	EH1VIH0T
KAGEY	KEY1JHIY0
KIRACOFE	KIH1RAH0KOW2F
PEKAR	PEH1KER0
SIRIS	SAY1RIH0S
RAMSER	RAE1MZER0
INNOVATING(1)	IH2NOW0VEY1TIH0NG
GRUIS	GRUW1IH0Z
FORMULATES	FAO1RMYAH0LEY2TS
LOOTING	LUW1TIH0NG
AMPLIFIERS	AE1MPLAH0FAY2ER0Z
FLOW	FLOW1
BARITONES	BEH1RAH0TOW2NZ
SELF-SUFFICIENCY	SEH2LFSAH0FIH1SHAH0NSIY2
CESTARO	CHEH0STAA1ROW0
STUMPP	STAH1MP
DIOGUARDI	DIY0OW0GAA1RDIY2
GARMON	GAA1RMAH0N
FOUNTAIN	FAW1NTAH0N
OVERSIZED	OW1VER0SAY2ZD
DIVIDES	DIH0VAY1DZ
JANKIEWICZ	YAE1NKAH0VIH0CH
UNRAVELED	AH0NRAE1VAH0LD
HANDLEBARS	HHAE1NDAH0LBAA2RZ
CREAMIEST	KRIY1MIY0IH0ST
SANKEI	SAE1NGKIY0
BRENNECKE	BREH1NIH0K
WHEATON(1)	HHWIY1TAH0N
CUTUGNO	KYUW0TAH1NYOW0
MOSHE'S	MOW0SHEH1Z
TAMMY	TAE1MIY0
INCREASES(1)	IH1NKRIY2SIH0Z
SOULE	SAW1L
SPANOS	SPEY1NOW0Z
FEAGINS	FIY1JHIH0NZ
PLAUSIBILITY	PLAO2ZIH0BIH1LIH0TIY0
GODBEY	GAA1DBIY0
PILE	PAY1L
SERLING	SER1LIH0NG
JENSEN	JHEH1NSAH0N
HEARST'S	HHER1STS
AGENT	EY1JHAH0NT
LJUBLJANA	LYUW1BLYAA0NAH0
INTERLUDE	IH1NTER0LUW2D
FAGERBERG	FEY1GER0BER0G
RUSTED	RAH1STAH0D
JOPP	JHAA1P
SAMUELA	SAE2MYUW0EH1LAH0
HEROIZED	HHIY1ROW0AY2ZD
FREARS	FRIY1RZ
BERRETH	BEH1RIH0TH
HOMILIES	HHOW1MAH0LIY0Z
SOBCZYK	SAA1BCHIH0K
TALLIL	TAH0LIH1L
BRETTSCHNEIDER(1)	BREH1TSNAY2DER0
KRENKE	KREH1NGK
CARDINAL	KAA1RDIH0NAH0L
MERETZ	MEH1REH0TS
PROSTATE	PRAA1STEY2T
ERCK	ER1K
PRECEDING	PRIY0SIY1DIH0NG
WILLIG	WIH1LIH0G
KALIS	KAE1LIH0S
AGED	EY1JHD
ZIOBRO	ZIY0OW1BROW0
EWBAL	YUW1BAA0L
DIE	DAY1
ECONOMIZE(1)	IY0KAA1NAH0MAY2Z
HUGHEY(2)	YUW1IY0
O'MEARA(1)	OW0MAA1RAH0
PRONOUN	PROW1NAW0N
KILTON	KIH1LTAH0N
RATTAN	RAE0TAE1N
BOESEN	BOW1SAH0N
TAVENNER	TAE1VIH0NER0
STRUGGLING	STRAH1GAH0LIH0NG
MUSSELS	MAH1SAH0LZ
STOCKHOLM	STAA1KHHOW2LM
TEEHAN	TIY1AH0N
BARGER	BAA1RJHER0
DELORES	DAH0LAO1RIH0S
PISCES	PAY1SIY0Z
SHATKIN	SHAE1TKIH0N
DESIR	DIH0SIH1R
SCHMEAD	SHMIY1D
BERTKE	BER1TKIY0
THACKERAY	THAE1KER0IY0
ROMANTICISM	ROW0MAE1NTAH0SIH2ZAH0M
NAUSS	NAO1S
KINZEL	KIH1NZAH0L
OUTPOUCH	AW1TPAW2CH
MOUZON	MUW0ZAO1N
PICKING	PIH1KIH0NG
LOGGERHEAD	LAA1GER0HHEH2D
KUNIO	KYUW1NIY0OW0
OVERHEARS	OW1VER0HHIY1RZ
TJARKS	JHAA1RKS
KENMORE	KEH1NMAO2R
RELEGATE	REH1LAH0GEY2T
TOMORROWS	TAH0MAA1ROW2Z
LEGISLATIVE	LEH1JHAH0SLEY2TIH0V
SCALLOPED	SKAA1LAH0PT
SWABY	SWAA1BIY0
OBSTRUCTING	AH0BSTRAH1KTIH0NG
PARENTHETICAL	PER0EH0NTHEH1TIH0KAH0L
ORABEL	AO0RAA0BEH1L
SANCTIFICATION	SAE2NGKTAH0FAH0KEY1SHAH0N
KENEER	KAH0NIY1R
ROEGNER	ROW1GNER0
JAP	JHAE1P
WATTENBERG	WAA1TAH0NBER0G
SHANTY	SHAE1NTIY0
CIRCULARIZING	SER1KYAH0LER0AY2ZIH0NG
SUCCESSFUL	SAH0KSEH1SFAH0L
HELSEL	HHEH1LSAH0L
ADULTERY	AH0DAH1LTER0IY0
RANTED(1)	RAE1NTIH0D
HEYEN	HHAY1N
WILLAMETTE	WAH0LAE1MAH0T
ARRESTING	ER0EH1STIH0NG
HONDAS	HHAA1NDAH0S
GINN	JHIH1N
YOSHIHISA	YOW2SHIH0HHIY1SAH0
ROGUE	ROW1G
