ER0BEY1SHAH0S	HERBACEOUS
AH0LER1T	ALERT
DIH0SEH1MAH0NEY2T	DISSEMINATE
SLEY1BIY0	SLABY
PAH0LUW1TER0Z	POLLUTERS
DEH1MOW2Z	DEMOS
NUW1LAH0ND	NULAND(1)
BRAY1AH0NZ	BRYAN'S
KIY1ZER0	KEEZER
PAY1ND	PINED
CHEH0LYAH0BIH1NSK	CHELYABINSK
BLAE1NSIH0T	BLANCETT
LEH1NHHAA0RT	LEONHART
LIH0LIY0AE1NAH0	LILLIANA
RAA0DRIY1GEH0ZIH0Z	RODRIGUEZ'S
HHOW1LTZAH0PAH0L	HOLTZAPPLE
IH1NSTAH0GEY2TIH0D	INSTIGATED
FAO1RJHIY0	FORGEY
KOW1STIH0K	KOSTICK
RUW1M	ROOME
VEY1DAH0	VEDA
HHUH1BER0	HUEBER
SHAA1LNEH0V	SHALNEV
RIY0KWAY1RD	REQUIRED(1)
IY2RAE1KIY0	IRAQI(1)
BLAE1NCHIH0T	BLANCHETT
BLEY1NIY0	BLAYNEY
RUW1BIH0NZ	RUBIN'S
MIH1TROW0	MITRO
DIH0STER1BAH0NSAH0Z	DISTURBANCES
MEY1NZ	MANES
AH0NKAH0NSAA1LAH0DEY2TIH0D	UNCONSOLIDATED
PAA1PAH2	PAPA
PRAY1MZ	PRIME'S
WER1LPUW2LZ	WHIRLPOOL'S
GER0MAO1NIY0	GARMANY
SER1BIY0AH0NZ	SERBIANS
SWOY1ER0	SWOYER
LIH0HHWEY1	LIHUE
DIH1STAH0LEY2T	DISTILLATE
KAA1N	KAHN
FER0AA1ROW0	FERRARO
AO0RIH1LAH0	ORILLA
SIY1LER0T	SEELERT
RAA1THER0T	ROTHERT
RIH0KUW1PIH0NG	RECOUPING
SAH1BSTAH0NS	SUBSTANCE
SAE1MPSAH0L	SAMPSEL
OW1IH0HHIY0	OWYHEE
DAA0MIY1TAH0	DAMITA
PIH1KIH0LSIH0MER0	PICKELSIMER
HHAY1NZAH0LMAH0N	HEINZELMAN
DOW1ZIH0NG	DOZING
FIH1NGKS	FINK'S
AH0BUH1RTOW2Z	ABURTO'S
FAH1KS	FUCK'S
AE1NTAY0KRAY1M	ANTICRIME(1)
EH2MPAH0THEH1TIH0K	EMPATHETIC
AY1Z	EYE'S
AA1BLAO0NG	OBLONG
SAE1LIY0Z	SALLY'S
KUW1NIH0G	KOONIG
ZHER1TS	GEURTS
BAH0LOW1NIY0	BOLOGNA
VAA0LKEY1NOW0	VOLCANO
CHAE1NZ	CHANS
HHEY1PKIY0	HAPKE
BAA1RTNIH0K	BARTNIK
KEH1DIY0	KEDDY
SWEH1TNAH0M	SWETNAM
PEH1PTAY2DZ	PEPTIDES
BAA1NIH0FIY2LD	BONIFIELD
BUH1LRAH0SH	BULRUSH
AE1KROY2D	ACKROYD
LIH2POW0PROW1TIY0NZ	LIPOPROTEINS
SAW1SLIY0	SOUSLEY
AE1NG	ANG
MIH0KAA1LAY0CHAE0K	MIKOLAJCZAK
BEH1NIH0GAH0N	BENNIGAN
MAY1NFIY2LD	MINEFIELD
ROW1LZ	ROLL'S
AH0NTHIH1NGKAH0BAH0L	UNTHINKABLE
RIH1LAH0NDER0	RYLANDER
THIY1M	THIEME
FAH0NAE1NSHAH0L	FINANCIAL
SPER0AA1TSAH0	SPERRAZZA
OW0KAE1NAH0Z	O'CANAS
KAH0NTRAE1KSHAH0NZ	CONTRACTIONS
AW1TFIY2LD	OUTFIELD
AW1THHAW2S	OUTHOUSE
JHEH2NER0AA1SAH0TIY0	GENEROSITY
KEH1TER0IH0NG	KETTERING
AE1TLAH0S	ATLAS
KAW1BEH2LZ	COWBELLS
DOW0MIY1NAH0	DOMINA
TUW0MAA1ROW2Z	TOMORROWS(1)
SHAH1FUH1LIH0NG	SHUFFLING(1)
FIH1TFAH0LIY0	FITFULLY
VAE1LER0	VALOR
MAA0TEH1RAH0	MATTERA
HHUW1Z	WHO'S
IH2NGGREY1SHIY0EY2TIH0NG	INGRATIATING
KROW2SHAH0TIH1R	CROCHETIERE
DAE1NJHUW0BZ	DANJUBE'S
KIY1F	KEEF
SOW1ZIY0OW0	SOZIO
BAY1GRAE0M	BIGRAM
KER0TEY1LMAH0NTS	CURTAILMENTS
TIH1NTAH0N	TINTON
KAH0LAE1BER0EY2TIH0D	COLLABORATED(1)
DIH0FEY1ST	DEFACED
GAE1DFLAY2	GADFLY
RIY2IH0NTRAH0DUW1S	REINTRODUCE
LIH1NDVAH0L	LINDVALL
RAH0NUW1F	RENOUF
SAA1ROW0Z	SORROWS
BAO1R	BOHR
BIY1DYIH0NT	BEDIENT
PAA1RTAH0ZAH0ND	PARTISANED
SEH1NAH0T	SENNET
NAA0NLIY1THAH0L	NON-LETHAL
MAA1NROY2	MONROY
MAH0KDAA1NAH0L	MACDONNELL
SAE1KRAH0MAH0NTAH0L	SACRAMENTAL
MIH1STIH0K	MISTIC
SKUW1LZ	SCHOOLS
THER1D	THIRD
RAH1SIH0N	RUSSIN
JHAA1BAH0LIY2AH0	JABALIYA
BER1OW2Z	BURROWES
WIH1NGKLER0	WINKLER
BIY1TIY1	BT
SPIY1LVOW2GAH0L	SPIELVOGEL
LIH1SIY0	LYSSY
HHIY1LZ	HEELS
AH0NKEH1RIH0NG	UNCARING
RIH1VKIH0ND	RIVKIND
BRAA1NGKS	BRONX
REH1MAH0DIY0IH0NG	REMEDYING
SKAE1RAH0	SCHARA
ROW1PS	ROPES
MAE1STER0WER2KS	MASTERWORKS
SHAH1TAH0LD	SHUTTLED
ROW0SAA0LIY1NDAH0	ROSALINDA
HHAY1RAA2RKIY0	HIERARCHY(1)
FAY1RZ	FIRES(1)
BIY0KEY1M	BECAME(1)
PIY0OW1NTEH0K	PIONTEK
GOW1MEH2Z	GOMES
SIY1GAH0LZ	SIEGEL'S
SHAH0TAO1KWAH0NZ	CHAUTAUQUANS
SNEH1KMAA0	SNECMA
RAA1BER0Z	ROBBERS
WUH1LFGAE2NG	WOLFGANG
DUW0BWAA1	DUBOIS(1)
SUW0PREH1MAH0SIH0STS	SUPREMACISTS
KAA2RDIY0OW0VAE1SKYAH0LER0	CARDIOVASCULAR
YUW0LYAE1SIY0	ULIASSI
GRAA1MAH0	GROMA
KLEY1Z	CLAEYS
BRAE1N	BRAN
PAA1RKIH0SAH0N	PARKISON
KEY1ER0	CAYER
IH0NDUH1RD	ENDURED(1)
FRAA1GMAW2THS	FROGMOUTHS
SIH0KYUH1RD	SECURED
GREY1DAH0S	GRADUS
NAY1SIH0TIY0Z	NICETIES
FEH1TIH0SHIH0ST	FETISHIST
DIH0STIH1L	DISTIL
TIH1MBER0MAH0N	TIMBERMAN
YUH0ROW1PIY0AH0M	EUROPIUM
KRUW1P	CROUP
THER1ER0	THEURER
TAE1MPIH0NG	TAMPING
LAE1NGGAH0N	LANGAN
KLIY1WER0	KLIEWER
PAO1ND	PAWNED
KRAH1TSIH0NJHER0	KRUTSINGER
MAE1SOW0	MASSO
WEY1NER0	WANER
AH0STUW1TLIY0	ASTUTELY
BER0NAH0DIY1NOW0	BERNARDINO
EH0SKAA0MIH1LAH0	ESCAMILLA
AW0TSTREH1CH	OUTSTRETCH
HHAH1SAH0LER0	HUSTLER
IH1NDEH0KS	INDEX
SHER1ZIH0NGER0	SCHERZINGER
RIY1	RE(1)
SAE1NDOW0	SANDOW
SPRIH1NTER0Z	SPRINTERS
DAO1NGKIY0	DONKEY(1)
KER1LAE0K	KURLAK
JHER0BAA1SIY0	GERBASI
TEH1DFER0D	TEDFORD
IH0NOW1BAH0LZ	ENNOBLES
STEH1NSIH0LD	STENCILED
ZEH1LAH0TS	ZELOTES
GRAH1MAH0N	GRUMMAN
GOW1LDMAH0N	GOLDMAN
GAE1NTIH0NBAY0N	GANTENBEIN
PEH1DER0SAH0N	PEDERSON
SAO1VIH0JH	SAUVAGE
KER1SIY0	KERSEE
MEY1DAH0N	MAYDEN
IH2NAE1NAH0MAH0T	INANIMATE
MAA1RTAH0N	MARTEN
WIH1CHHHAH2NT	WITCHHUNT
LAE1RAH0SHAH0L	LAROCHELLE
KUW1LIH0JHAH0Z	COOLIDGE'S
PRAW1DFUH2T	PROUDFOOT
KAE1MPER0Z	CAMPERS
MOW1FIY2LD	MOFIELD
HHOW1ZIH0Z	HOSES
OW0GUW1IY0N	OGUIN
SHEH1RAH0TAH0N	SHERATON
MIH0SLIY1DIH0NG	MISLEADING
IH2MOW1BAH0L	IMMOBILE
GRIH1SAH0N	GRISSON
NUW1LIH0N	NEWLYN
IH0KSKLEY1M	EXCLAIM
EH1NGGLER0Z	ENGLER'S(1)
NIH1SWAO0NDER0	NISWANDER
SAH1LTSBER0GER0	SULZBERGER
AY1TAH0MAY2ZER0	ITEMIZER
IY1STWER0D	EASTWARD
FEH1STIH0VAH0L	FESTIVAL(1)
BUW1LAH0LAH0S	BOULALAS
NAO1RDSTRAH0MZ	NORDSTROM'S
TAA1RT	TART
REY1CHIH0LZ	RACHELS
KIH2REH1TSUW0	KEIRETSU
LUW1SIY0	LUCIE
DIH0SKRIY1T	DISCRETE
BRAE1DER0	BRADER
TREH1PAH0L	TREPPEL
WAY1NGAA2RTAH0N	WEINGARTEN
SEH1LER0	SELLER
KAH0NDEH1MIH0NG	CONDEMNING
KEY1NZ	KEYNES
PAA1RSIH0NG	PARSING
IH2NEH1PTLIY0	INEPTLY
KAE2LIH0DOW1NIY0AH0N	CALEDONIAN
MAO0RAA0BIY1TOW0	MORABITO
BAA0LTAA0ZAA1R	BALTAZAR
OW1LAE0NDER0	AULANDER
CHIY1AO0NG	CHEONG
FEH1RIY0Z	FERRIES
FOW1TOW2SHAA2P	PHOTOSHOP
DAH1ZAH0NZ	DOZENS
BLAE1KLAA2K	BLACKLOCK
KAH0LAE1BRIY0AH0	CALABRIA
DEH1KER0AH0LIH0S	DECAROLIS
IH0MBEH1RAH0S	EMBARRASS
AE1LIH0SAH0N	ALISON
PIY0NEH1DAH0	PINEDA
BRIH1JHMAH0N	BRIDGEMAN
ROW1DWER2K	ROADWORK
TAE1GZ	TAGS
SHAA1VLIH0N	SHOVLIN
AA1RNIH0SAH0N	ARNESON
DEH2LFIY1NAH0	DELFINA
NIY1KOW0	NECO
PIH1RSIH0NG	PIERCING
MAH0LCHEH1FSKIY0	MALCZEWSKI
KREY1MER0	KRAMER
MIH0SREH2PRAH0ZEH1NIH0NG	MISREPRESENTING(1)
TUW1DER0	TUDOR
BIY1NSTAA2K	BIENSTOCK
AA1MNIH0KAA0M	OMNICOM
RIH1KS	RIX
DEY1VIH0DAO2V	DAVYDOV
DEH1BAH0S	DEBOSE
FER1N	FEARN
AA0RGAE1NBRAY0T	ARGANBRIGHT
SWAO1RTLIY0	SWARTLEY
EH1VRIY0THIH2NG	EVERYTHING
FLAO1RAH0LIY0	FLORALLY
AO0JHEH1LOW0	AUGELLO
YAA1	JA
FIY1DER0Z	FEEDERS
LOY1D	LOYD
KWIH1NTAY2L	QUINTILE(1)
SAH1MTAY2MZ	SOMETIMES(1)
MAE1GAH0DAE2N	MAGADAN
THAE1NGK	THANK
NIH1HHAY0ZER0	NIHISER
NIH1KAH0LAH0S	NICHOLAS'
MAY1KROW0Z	MICRO'S
SIY1GER0	SEGER
YUW0TOW1PIY0AH0NZ	UTOPIANS
LIH1TAH0LER0	LITTLER
THIY1M	THEME
WEH1STGEY2T	WESTGATE
JHAH1NGMAH0N	JUNGMAN
SHLEY1ER0	SCHLEYER
PAW1ER0POY2NT	POWERPOINT
WUH1DWIH2NDZ	WOODWINDS
BEH1V	BEV
DIY2OW0DAA1TOW2	DIODATO
NAA1STIH0SIH2ZAH0M	GNOSTICISM
SUH2RAH0NAA1M	SURINAM
STRAH1KCHER0D	STRUCTURED
SKYUW1IH0NG	SKEWING
WIH1NDOW0PEY2N	WINDOWPANE
AO1RDER0LIY0NAH0S	ORDERLINESS
MAE1KSWEH2L	MAXWELL
TIY1K	TEAC
NAE2NOW0TEH2KNAA1LAH0JHIY2Z	NANOTECHNOLOGIES
WIY1DER0HHOW0LT	WIEDERHOLT
IH0VAE1KYUW0IY0	EVACUEE
FAE1GLIY0	FAGLEY
THRAA1TAH0L	THROTTLE
HHER0AE1STIY0	HARASZTI
SKRAA1GIH0N	SCROGGIN
DIH0SIH1NTAH0GREY2T	DISINTEGRATE
VAA1LVOW0	VALVO
SKAE2NGK	SKANK
VIH1RAA0	VIERRA
LHHYUW2RUH1	L'HEUREUX
SAA1NDRAH0	SONDRA
DUW1GAH0L	DOUGALL(1)
RAH1SHDIY0	RUSHDIE
KRIY1S	CREASE
BRAW1NTAH0S	BROUNTAS
KIY1TER0	KEETER
HHAY0DRAO1LIH0K	HYDRAULIC
AE1KYUW0SIH0ST	ACUSYST
RAH1F	ROUGH
EH1VER0LIY0	EVERLY
STUW1DAH0NTS	STUDENT'S
GER1DER0Z	GIRDERS
IH1NS	INCE
WAY1ZAH0NHHAH2NT	WHISENHUNT
AE1LIH0MEH2NIY0Z	ALIMENIES
LAH1KS	LUCKS
AH2NSAH0STEY1NAH0BLIY0	UNSUSTAINABLY
MAH0KEY1MIY0	MCCAMY
GOW1LDFEH2DER0	GOLDFEDER
TAA1DZ	TODD'S
FLAY1SIH0Z	FLEISS'S(1)
HHYUW0MIH1LIY0EY2TIH0D	HUMILIATED
AA2NER0IH1FIH0K	HONORIFIC
IH0LUW1THER0AH0	ELEUTHERA
PEY1STS	PASTES
DIH0SEH1NTRAH0LAY2ZD	DECENTRALIZED
BREY1D	BRAID
WEH1SAH0KS	WESSEX
BAY1AH0S	BYAS
KSYAA1ZEH0K	KSIAZEK
HHEH1M	HEMM
BER1KAH0L	BURKLE
REH1M	REMME
SAY1RIH0NG	SYRING
PAA1LAH0SIY0	POLICY
NIH0GLEH1KT	NEGLECT(1)
PREH1TZAH0L	PRETZEL
STEH1FIY0	STEFFIE
AO1SPRIY0	OSPREY
TAH1FER0	TOUGHER
REH1NAH0VEY2TER0Z	RENOVATORS
AH0NAO1LTER0AH0BAH0L	UNALTERABLE
BYUW1TIY0Z	BEAUTIES
MYUW1CHUW0AH0LIY0	MUTUALLY
DIH0SIH1MAH0LER0	DISSIMILAR
BER1DIY0Z	BIRDIES
WAE1GAH0NER0	WAGENER
TRIH1LAH0JHIY0	TRILOGY
NAA2RAY0AA1NAH0N	NARAYANAN
AE1BER0AH0L	ABERLE
IY1DZ	EADS'
IH0MBEH1RAH0ST	EMBARRASSED
AH0SIH1RIY0AH0N	ASSYRIAN
MAE1NZ	MANS
NUW1HHAO2LZ	NEWHALL'S
SAO1RIY0	SOREY
MAA1RFAH0	MARFA
GAE1TIY0	GATTY
CHAH1BZ	CHUBB'S
TAO1RAH0S	TORRAS
KAH0NVER1JH	CONVERGE
SHEH1LIH0NBAA0RGER0	SHELLENBARGER
BROW1ZEH0K	BROZEK
SOW1DER0BLAA2M	SODERBLOM
KER0EY1IY0AH0	CORREIA
STAE2NIH0SLAA1FSKIY2	STANISLAWSKI
FUW1	FOO
STREY1TAH0NZ	STRAIGHTENS
DAY0REH1KNAH0S	DIRECTNESS(2)
PIY1KS	PEAKES'
MAE1RAH0TAH0L	MARITAL
STIH1LIY0	STILLEY
PIY0ZAE1NAH0	PIZANA
HHAE1NGKOW0	HANKO
VAA1LAA0K	VOLOKH
TEH1RIY0OW0	TERRIO
EY1M	AIME
PRAH0PEH1NSIH0TIY0	PROPENSITY
RIY0DIH0FYUW1ZHAH0N	REDIFFUSION
MUW1RAE0D	MOURAD
STIH1G	STIG
AE1KSAH0L	AXEL
FREH1NZ	FRENZ
NIY1LSAH0N	NEALSON
KLAW1SER0	KLAUSER
WIH1KLIH0F	WICKLIFFE
STAY1FAH0LIH0NG	STIFLING(1)
IH2NSAH0LEH1RIH0TIY0	INSULARITY
AE2MER0IH1LOW0	AMARILLO
SPAY1SLAE2ND	SPICELAND
ROW1ZAH0NBAA2K	ROSENBACH
KAH0NFIH1GYER0IH0NG	CONFIGURING
DEH1KSTRAH0S	DEXTROUS
SEY1JHAH0	SIEJA(1)
HHAO1NCHOW0	HONCHO
DOW0NAA1TIY0	DONATI
FRAO1STIY0	FROSTY
DAA1T	DOT
DIH1RDAO2RF	DEARDOURFF
DIH0MOW1TIH0D	DEMOTED
KAA2NTRAH0DIH1KTER0AH0LIY0	CONTRADICTORILY
RAA1TBER0G	ROTBERG
NAA0VAA1R	NAVARRE
AE1NAH0SKWAA0N	ANASQUAN
MAA1RSHAH0LZ	MARSHALS
SIY1TH	SEITH
RIH0LAY1AH0NSIH0Z	RELIANCE'S
DEH1FIH0NBAW0	DEFFENBAUGH
WOW1LPIY0	WOLPE
OW1	O
GRIH1BIH0NZ	GRIBBINS
PAO1RDIY0	PORDY
MAE1SBAA2K	MASSBAUCH
DER1ST	DURST
TWUW1MBLIY0	TWOMBLY
WAA1GAH0	OUAGA
MEH0RIY0AE1N	MARYANN
KRAE1BAH0L	CRABILL
SAH1SMAH0N	SUSSMAN
RAA0DEY1L	RADELL
FIH2ZIY0AA1LAH0JHIY0	PHYSIOLOGY
TIH1PTOW2	TIPTOE
PAA1T	POT
AE1LAH0NZWER0TH	ALLENSWORTH
AE2NAH0VER1SER0IY0Z	ANNIVERSARIES
MUH0HHAA1MEH0D	MUHAMED
AH1NDER0PRAY2S	UNDERPRICE
GUH1DBAY2	GOOD-BYE(1)
LAE1NGKAH0	LANKA
GIH1LUW0LIY0	GILLOOLY
FAO1	FAW
FLAW1NDER0D	FLOUNDERED
EH1RAH0JHAH0NOW2SAH0	AEROGENOSA
KLUW1KAH0Z	CLUCAS
PRIH1ZAA2NT	PRIZANT
BRUW1MIH0T	BRUMITT
STAY1NMEH0TS	STEINMETZ
SPAY1ER0	SPEIER
HHIH1LSAY2D	HILLSIDE
PUH1RAH0	PURA
PRIY0FEH1KCHER0AH0L	PREFECTURAL
KROW1LAH0K	KROLAK
GEH1RIH0G	GHERIG
WEY1N	WAIN
SHOY1ER0	SCHEUER
MAA1RKSMAH0NSHIH0P	MARKSMANSHIP
AH0FIH2LIY0EY1SHAH0NZ	AFFILIATIONS
KAH0LUW1SIH0V	COLLUSIVE
SER0AO1RAH0TIY0Z	SORORITIES
LAW1ZIY0NAH0S	LOUSINESS
AE1NGGLER0	ANGLER
GRAE1N	GRAHN
AH0LNAH1T	ALLNUTT
SIY1MAH0NZ	SIEMENS
KAA1LIY0GZ	COLLEAGUES
SAH0STEY1ND	SUSTAINED
KAW0AH0LEH1FSKIY0	KOWALEWSKI
KLAH1	KLUGH
JHAH0VAA1NIY0	GIOVANNI(1)
KRUW1SHAH0L	CRUCIAL
JHEH1KAH0L	JEKYLL
AE0NTIH1SAH0PEY2TIH0D	ANTICIPATED(1)
PRAA1FER0D	PROFFERED
SEY1JHAH0Z	SAGE'S
KAH1TLAH0S	CUTLASS
GAA1B	GOB
DIH0VEH1LAH0PER0	DEVELOPER
LAY2AH0BIH1LAH0TIY0Z	LIABILITIES
PAH0ZEH1ST	POSSESSED
NUW1TRIY0AH0	NUTRIA
HHAH1SER0	HUSSAR
GAA0LTIH1RIY0	GUALTIERI
PLAE1STER0ER0	PLASTERER
NUW1HHAA2RD	NEWHARD
PRAH0VOW1KS	PROVOKES
SKWAO1L	SQUALL
IH2POW0LIY1TOW0	IPPOLITO
BAA2NFIH1GLIY0OW0	BONFIGLIO
EH1MIH0LIY0	EMILY
PAH1BLIH0SHAH0Z	PUBLISHES
LIH1BER2AH0L	LIBERAL
PIH1G	PIGG
BAE1KIH0NAH0L	BACCHANAL(1)
TER1BUH0SH	TERBUSH(1)
DOY1CH	DEUTCH
KLAE1MBER0D	CLAMBERED
NAA1TIH0D	KNOTTED
EH1VIH0T	EVITT
KEY1JHIY0	KAGEY
KIH1RAH0KOW2F	KIRACOFE
PEH1KER0	PEKAR
SAY1RIH0S	SIRIS
RAE1MZER0	RAMSER
IH2NOW0VEY1TIH0NG	INNOVATING(1)
GRUW1IH0Z	GRUIS
FAO1RMYAH0LEY2TS	FORMULATES
LUW1TIH0NG	LOOTING
AE1MPLAH0FAY2ER0Z	AMPLIFIERS
FLOW1	FLOW
BEH1RAH0TOW2NZ	BARITONES
SEH2LFSAH0FIH1SHAH0NSIY2	SELF-SUFFICIENCY
CHEH0STAA1ROW0	CESTARO
STAH1MP	STUMPP
DIY0OW0GAA1RDIY2	DIOGUARDI
GAA1RMAH0N	GARMON
FAW1NTAH0N	FOUNTAIN
OW1VER0SAY2ZD	OVERSIZED
DIH0VAY1DZ	DIVIDES
YAE1NKAH0VIH0CH	JANKIEWICZ
AH0NRAE1VAH0LD	UNRAVELED
HHAE1NDAH0LBAA2RZ	HANDLEBARS
KRIY1MIY0IH0ST	CREAMIEST
SAE1NGKIY0	SANKEI
BREH1NIH0K	BRENNECKE
HHWIY1TAH0N	WHEATON(1)
KYUW0TAH1NYOW0	CUTUGNO
MOW0SHEH1Z	MOSHE'S
TAE1MIY0	TAMMY
IH1NKRIY2SIH0Z	INCREASES(1)
SAW1L	SOULE
SPEY1NOW0Z	SPANOS
FIY1JHIH0NZ	FEAGINS
PLAO2ZIH0BIH1LIH0TIY0	PLAUSIBILITY
GAA1DBIY0	GODBEY
PAY1L	PILE
SER1LIH0NG	SERLING
JHEH1NSAH0N	JENSEN
HHER1STS	HEARST'S
EY1JHAH0NT	AGENT
LYUW1BLYAA0NAH0	LJUBLJANA
IH1NTER0LUW2D	INTERLUDE
FEY1GER0BER0G	FAGERBERG
RAH1STAH0D	RUSTED
JHAA1P	JOPP
SAE2MYUW0EH1LAH0	SAMUELA
HHIY1ROW0AY2ZD	HEROIZED
FRIY1RZ	FREARS
BEH1RIH0TH	BERRETH
HHOW1MAH0LIY0Z	HOMILIES
SAA1BCHIH0K	SOBCZYK
TAH0LIH1L	TALLIL
BREH1TSNAY2DER0	BRETTSCHNEIDER(1)
KREH1NGK	KRENKE
KAA1RDIH0NAH0L	CARDINAL
MEH1REH0TS	MERETZ
PRAA1STEY2T	PROSTATE
ER1K	ERCK
PRIY0SIY1DIH0NG	PRECEDING
WIH1LIH0G	WILLIG
KAE1LIH0S	KALIS
EY1JHD	AGED
ZIY0OW1BROW0	ZIOBRO
YUW1BAA0L	EWBAL
DAY1	DIE
IY0KAA1NAH0MAY2Z	ECONOMIZE(1)
YUW1IY0	HUGHEY(2)
OW0MAA1RAH0	O'MEARA(1)
PROW1NAW0N	PRONOUN
KIH1LTAH0N	KILTON
RAE0TAE1N	RATTAN
BOW1SAH0N	BOESEN
TAE1VIH0NER0	TAVENNER
STRAH1GAH0LIH0NG	STRUGGLING
MAH1SAH0LZ	MUSSELS
STAA1KHHOW2LM	STOCKHOLM
TIY1AH0N	TEEHAN
BAA1RJHER0	BARGER
DAH0LAO1RIH0S	DELORES
PAY1SIY0Z	PISCES
SHAE1TKIH0N	SHATKIN
DIH0SIH1R	DESIR
SHMIY1D	SCHMEAD
BER1TKIY0	BERTKE
THAE1KER0IY0	THACKERAY
ROW0MAE1NTAH0SIH2ZAH0M	ROMANTICISM
NAO1S	NAUSS
KIH1NZAH0L	KINZEL
AW1TPAW2CH	OUTPOUCH
MUW0ZAO1N	MOUZON
PIH1KIH0NG	PICKING
LAA1GER0HHEH2D	LOGGERHEAD
KYUW1NIY0OW0	KUNIO
OW1VER0HHIY1RZ	OVERHEARS
JHAA1RKS	TJARKS
KEH1NMAO2R	KENMORE
REH1LAH0GEY2T	RELEGATE
TAH0MAA1ROW2Z	TOMORROWS
LEH1JHAH0SLEY2TIH0V	LEGISLATIVE
SKAA1LAH0PT	SCALLOPED
SWAA1BIY0	SWABY
AH0BSTRAH1KTIH0NG	OBSTRUCTING
PER0EH0NTHEH1TIH0KAH0L	PARENTHETICAL
AO0RAA0BEH1L	ORABEL
SAE2NGKTAH0FAH0KEY1SHAH0N	SANCTIFICATION
KAH0NIY1R	KENEER
ROW1GNER0	ROEGNER
JHAE1P	JAP
WAA1TAH0NBER0G	WATTENBERG
SHAE1NTIY0	SHANTY
SER1KYAH0LER0AY2ZIH0NG	CIRCULARIZING
SAH0KSEH1SFAH0L	SUCCESSFUL
HHEH1LSAH0L	HELSEL
AH0DAH1LTER0IY0	ADULTERY
RAE1NTIH0D	RANTED(1)
HHAY1N	HEYEN
WAH0LAE1MAH0T	WILLAMETTE
ER0EH1STIH0NG	ARRESTING
HHAA1NDAH0S	HONDAS
JHIH1N	GINN
YOW2SHIH0HHIY1SAH0	YOSHIHISA
ROW1G	ROGUE
